Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2020-05-19 12:31:11	  0.34	0.0012	 639.3	0.0012	  1.99	0.0014	 0.403	0.0007	  0.00	0.0006	  0.00	0.0013	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000036.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:31:35	  0.33	0.0013	 608.6	0.0011	  1.71	0.0010	 0.408	0.0007	  0.15	0.0007	  0.00	0.0008	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000037.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:31:59	  0.34	0.0016	 569.0	0.0010	  1.70	0.0011	 0.336	0.0007	  0.06	0.0006	  0.01	0.0006	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000038.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:32:23	  0.33	0.0011	 541.7	0.0009	  1.78	0.0012	 0.337	0.0006	  0.00	0.0006	  0.00	0.0012	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000039.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:32:47	  0.32	0.0014	 528.9	0.0011	  1.81	0.0010	 0.353	0.0009	  0.00	0.0009	  0.00	0.0008	984.00	0.0000	 31.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000040.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:33:10	  0.32	0.0015	 519.2	0.0009	  1.82	0.0009	 0.361	0.0005	  0.11	0.0005	  0.15	0.0010	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000041.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:33:34	  0.31	0.0018	 518.5	0.0008	  1.78	0.0014	 0.385	0.0007	  0.00	0.0006	  0.00	0.0013	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000042.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:33:58	  0.31	0.0013	 518.1	0.0008	  1.85	0.0012	 0.308	0.0007	  0.00	0.0006	  0.08	0.0010	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000043.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:34:22	  0.30	0.0008	 522.9	0.0008	  1.86	0.0011	 0.316	0.0007	  0.03	0.0007	  0.00	0.0017	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000044.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:34:46	  0.29	0.0008	 528.3	0.0011	  1.85	0.0014	 0.365	0.0006	  0.14	0.0006	  0.00	0.0014	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000045.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:35:10	  0.31	0.0007	 535.2	0.0009	  1.79	0.0009	 0.362	0.0007	  0.12	0.0006	  0.00	0.0017	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000046.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:35:34	  0.31	0.0012	 542.4	0.0008	  1.77	0.0014	 0.387	0.0005	  0.08	0.0006	  0.00	0.0019	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000047.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:35:58	  0.29	0.0010	 548.1	0.0009	  1.94	0.0012	 0.383	0.0006	  0.13	0.0005	  0.00	0.0012	984.00	0.0000	 31.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000048.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:36:22	  0.31	0.0008	 549.6	0.0011	  1.92	0.0012	 0.360	0.0006	  0.00	0.0006	  0.01	0.0011	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000049.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:36:45	  0.31	0.0016	 557.9	0.0009	  1.83	0.0009	 0.347	0.0006	  0.00	0.0006	  0.00	0.0011	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000050.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:37:09	  0.32	0.0012	 566.1	0.0010	  1.92	0.0010	 0.392	0.0006	  0.09	0.0005	  0.00	0.0018	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000051.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:37:33	  0.31	0.0010	 577.4	0.0008	  1.83	0.0011	 0.388	0.0007	  0.00	0.0006	  0.00	0.0015	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000052.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
2020-05-19 12:37:57	  0.30	0.0007	 580.2	0.0010	  1.94	0.0012	 0.380	0.0006	  0.12	0.0006	  0.06	0.0011	984.00	0.0000	 30.00	0.0000	 44.70	0.0000	-93.07	0.0000	I10 64 05192020_000053.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA - storage card.LIB
