Date	Water vapor H2O (vol-%)	Residual	Carbon dioxide CO2 (ppm)	Residual	Methane CH4 (ppm)	Residual	Nitrous oxide N2O (ppm)	Residual	Carbon monoxide CO (ppm)	Residual	Ammonia NH3 (ppm)	Residual	Ambient pressure (mbar)	Residual	Cell temperature (°C)	Residual	Longitude GPS (ppm)	Residual	Latitude GPS (ppm)	Residual	Spectrum file	Library file
2019-08-15 12:00:43	  0.03	0.0006	 774.6	0.0004	  1.73	0.0014	 0.384	0.0004	  0.39	0.0004	  0.06	0.0008	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000019.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:01:07	  0.03	0.0007	 755.0	0.0005	  1.91	0.0013	 0.366	0.0004	  0.26	0.0005	  0.05	0.0010	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000020.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:01:31	  0.03	0.0008	 736.9	0.0025	  1.87	0.0013	 0.344	0.0007	  0.00	0.0006	  0.05	0.0007	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000021.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:01:56	  0.04	0.0005	 754.1	0.0007	  1.99	0.0012	 0.325	0.0006	  0.03	0.0005	  0.07	0.0005	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000022.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:02:20	  0.03	0.0007	 776.3	0.0005	  1.91	0.0011	 0.328	0.0005	  0.00	0.0006	  0.02	0.0009	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000023.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:02:44	  0.04	0.0007	 808.7	0.0003	  1.87	0.0012	 0.348	0.0005	  0.00	0.0004	  0.07	0.0011	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000024.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:03:09	  0.03	0.0007	 830.7	0.0005	  1.94	0.0015	 0.313	0.0005	  0.00	0.0005	  0.11	0.0007	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000025.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:03:33	  0.03	0.0006	 858.6	0.0005	  1.94	0.0012	 0.313	0.0005	  0.00	0.0005	  0.11	0.0009	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000026.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:03:57	  0.03	0.0006	 890.4	0.0005	  1.96	0.0013	 0.369	0.0006	  0.00	0.0006	  0.02	0.0008	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000027.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
2019-08-15 12:04:22	  0.03	0.0005	 910.9	0.0005	  1.87	0.0013	 0.310	0.0005	  0.00	0.0004	  0.13	0.0007	981.00	0.0000	 35.00	0.0000	 44.68	0.0000	-93.07	0.0000	hr k1.2 08152019_000028.spe	GAS-APP-GHG_c12_15_Rev-AB-PDA.LIB
