datetime,date,time,co2,ch4,n20,filename
8/6/2019 11:11,8/6/2019,11:11:34,721.7,2.05,0.357,hr 08062019 w2 soil.txt
8/6/2019 11:11,8/6/2019,11:11:59,732.2,1.9,0.373,hr 08062019 w2 soil.txt
8/6/2019 11:12,8/6/2019,11:12:24,741.9,1.88,0.368,hr 08062019 w2 soil.txt
8/6/2019 11:12,8/6/2019,11:12:49,749.5,2.03,0.337,hr 08062019 w2 soil.txt
8/6/2019 11:13,8/6/2019,11:13:14,768.1,1.95,0.345,hr 08062019 w2 soil.txt
8/6/2019 11:13,8/6/2019,11:13:39,775.5,1.99,0.375,hr 08062019 w2 soil.txt
8/6/2019 11:14,8/6/2019,11:14:04,784.4,2.03,0.363,hr 08062019 w2 soil.txt
8/6/2019 11:14,8/6/2019,11:14:29,794.9,1.99,0.364,hr 08062019 w2 soil.txt
8/6/2019 11:14,8/6/2019,11:14:54,801.2,2.06,0.382,hr 08062019 w2 soil.txt
8/6/2019 11:15,8/6/2019,11:15:19,809.4,2.06,0.355,hr 08062019 w2 soil.txt
8/6/2019 11:15,8/6/2019,11:15:44,816.1,2.03,0.37,hr 08062019 w2 soil.txt
8/6/2019 11:16,8/6/2019,11:16:09,823.7,2.07,0.37,hr 08062019 w2 soil.txt
8/6/2019 11:16,8/6/2019,11:16:34,830.8,2.02,0.369,hr 08062019 w2 soil.txt
8/6/2019 11:16,8/6/2019,11:16:59,843.8,2,0.379,hr 08062019 w2 soil.txt
8/6/2019 11:17,8/6/2019,11:17:24,845.6,1.95,0.368,hr 08062019 w2 soil.txt
8/6/2019 10:57,8/6/2019,10:57:27,808.4,1.99,0.356,hr 08062019 w2.txt
8/6/2019 10:57,8/6/2019,10:57:52,632.8,1.97,0.377,hr 08062019 w2.txt
8/6/2019 10:58,8/6/2019,10:58:17,563,2.08,0.363,hr 08062019 w2.txt
8/6/2019 10:58,8/6/2019,10:58:42,540.3,2.09,0.359,hr 08062019 w2.txt
8/6/2019 10:59,8/6/2019,10:59:06,546.8,1.87,0.366,hr 08062019 w2.txt
8/6/2019 10:59,8/6/2019,10:59:31,561.3,2.06,0.364,hr 08062019 w2.txt
8/6/2019 10:59,8/6/2019,10:59:56,579.2,1.97,0.363,hr 08062019 w2.txt
8/6/2019 11:00,8/6/2019,11:00:21,602.4,2.03,0.363,hr 08062019 w2.txt
8/6/2019 11:00,8/6/2019,11:00:46,621.9,2.08,0.397,hr 08062019 w2.txt
8/6/2019 11:01,8/6/2019,11:01:11,643.2,2.02,0.369,hr 08062019 w2.txt
8/6/2019 11:01,8/6/2019,11:01:35,664.1,1.93,0.389,hr 08062019 w2.txt
8/6/2019 11:02,8/6/2019,11:02:00,689.9,2.04,0.405,hr 08062019 w2.txt
8/6/2019 11:02,8/6/2019,11:02:25,706.3,2.06,0.381,hr 08062019 w2.txt
8/6/2019 11:02,8/6/2019,11:02:50,728.1,2.02,0.41,hr 08062019 w2.txt
8/6/2019 11:29,8/6/2019,11:29:43,647.7,2.01,0.35,hr 08062019 w3 soil.txt
8/6/2019 11:30,8/6/2019,11:30:08,556.6,1.96,0.353,hr 08062019 w3 soil.txt
8/6/2019 11:30,8/6/2019,11:30:33,528.3,1.94,0.344,hr 08062019 w3 soil.txt
8/6/2019 11:30,8/6/2019,11:30:58,530.9,2.01,0.35,hr 08062019 w3 soil.txt
8/6/2019 11:31,8/6/2019,11:31:23,536.7,2.06,0.345,hr 08062019 w3 soil.txt
8/6/2019 11:31,8/6/2019,11:31:48,556.3,2.03,0.339,hr 08062019 w3 soil.txt
8/6/2019 11:32,8/6/2019,11:32:13,568.5,1.99,0.335,hr 08062019 w3 soil.txt
8/6/2019 11:32,8/6/2019,11:32:38,582.6,1.99,0.343,hr 08062019 w3 soil.txt
8/6/2019 11:33,8/6/2019,11:33:03,598.9,2,0.328,hr 08062019 w3 soil.txt
8/6/2019 11:33,8/6/2019,11:33:28,615.6,2.03,0.335,hr 08062019 w3 soil.txt
8/6/2019 11:33,8/6/2019,11:33:53,632.8,1.94,0.338,hr 08062019 w3 soil.txt
8/6/2019 11:34,8/6/2019,11:34:18,651,2,0.352,hr 08062019 w3 soil.txt
8/6/2019 11:34,8/6/2019,11:34:43,664.4,2.02,0.354,hr 08062019 w3 soil.txt
8/6/2019 11:35,8/6/2019,11:35:08,682,2.05,0.336,hr 08062019 w3 soil.txt
8/6/2019 11:35,8/6/2019,11:35:33,692.4,2.03,0.364,hr 08062019 w3 soil.txt
8/6/2019 11:35,8/6/2019,11:35:58,700.9,1.98,0.338,hr 08062019 w3 soil.txt
8/6/2019 11:36,8/6/2019,11:36:23,717,2.08,0.341,hr 08062019 w3 soil.txt
8/6/2019 11:36,8/6/2019,11:36:48,732.4,1.98,0.338,hr 08062019 w3 soil.txt
8/6/2019 11:37,8/6/2019,11:37:13,744.3,2.07,0.358,hr 08062019 w3 soil.txt
8/6/2019 11:37,8/6/2019,11:37:38,769.1,1.98,0.336,hr 08062019 w3 soil.txt
8/6/2019 11:38,8/6/2019,11:38:03,780.2,2.03,0.349,hr 08062019 w3 soil.txt
8/6/2019 11:38,8/6/2019,11:38:28,787.6,2.03,0.333,hr 08062019 w3 soil.txt
8/6/2019 11:38,8/6/2019,11:38:54,804.6,2.08,0.358,hr 08062019 w3 soil.txt
8/6/2019 11:39,8/6/2019,11:39:19,813.7,2.06,0.342,hr 08062019 w3 soil.txt
8/6/2019 11:39,8/6/2019,11:39:44,820.3,2.08,0.33,hr 08062019 w3 soil.txt
8/6/2019 11:40,8/6/2019,11:40:09,830.4,2.04,0.326,hr 08062019 w3 soil.txt
8/6/2019 11:40,8/6/2019,11:40:34,841.6,2.01,0.343,hr 08062019 w3 soil.txt
